id_department,department_name,terrain_area,old_antenna,new_antenna_type
30,Valle del Cauca,1049600,8,d
8,Caqueta,1755400,22,d
5,Bolivar,1399400,25,d
31,Vaupes,651800,21,a
17,Huila,412600,23,b
32,Vichada,1070000,17,a
26,San Andres y Providencia,1169200,15,b
27,Santander,684200,12,e
28,Sucre,1014600,16,c
5,Bolivar,1863200,21,a
20,Meta,1830800,5,e
11,Cesar,88000,11,c
28,Sucre,722800,15,e
20,Meta,1857000,20,d
12,Choco,494800,3,c
30,Valle del Cauca,55600,5,e
11,Cesar,597200,18,d
31,Vaupes,1325600,0,c
8,Caqueta,71400,1,d
30,Valle del Cauca,189800,7,d
19,Magdalena,1943000,20,b
24,Quindio,1613600,20,e
23,Putumayo,1390200,20,e
2,Antioquia,1283800,25,d
29,Tolima,149600,6,c
21,Narino,1429200,28,c
19,Magdalena,1810400,20,d
6,Boyaca,554600,9,d
8,Caqueta,1603400,11,e
30,Valle del Cauca,247400,23,a
12,Choco,394200,30,d
32,Vichada,790400,25,a
1,Amazonas,253800,23,c
32,Vichada,1692800,19,d
25,Risaralda,1895800,5,c
6,Boyaca,333000,17,c
31,Vaupes,1964200,23,d
5,Bolivar,594400,7,a
1,Amazonas,1658600,15,a
31,Vaupes,1842200,23,c
31,Vaupes,1538800,18,c
28,Sucre,1539000,2,b
4,Atlantico,1545600,11,b
3,Arauca,966800,8,b
24,Quindio,701200,5,b
14,Cundinamarca,363200,11,d
19,Magdalena,616000,18,a
29,Tolima,1401200,2,b
11,Cesar,1549800,25,d
24,Quindio,473600,11,b
30,Valle del Cauca,1928800,23,b
13,Cordoba,1712400,11,a
16,Guaviare,1299400,18,e
26,San Andres y Providencia,1837400,23,e
18,La Guajira,680000,11,b
5,Bolivar,1028000,29,c
9,Casanare,84800,6,b
28,Sucre,557000,15,c
19,Magdalena,847000,27,e
10,Cauca,792800,30,d
25,Risaralda,1048200,30,e
18,La Guajira,214000,9,d
7,Caldas,1555800,7,c
18,La Guajira,915400,21,d
9,Casanare,1289200,17,b
24,Quindio,1525000,25,b
19,Magdalena,1188200,29,b
5,Bolivar,879200,28,e
16,Guaviare,1029000,1,a
25,Risaralda,805600,26,d
24,Quindio,1295800,12,c
17,Huila,872000,3,b
9,Casanare,621200,14,e
22,Norte de Santander,1142400,3,c
17,Huila,1377200,5,b
7,Caldas,758400,9,d
18,La Guajira,1440000,23,a
10,Cauca,356000,4,a
14,Cundinamarca,1777600,27,d
8,Caqueta,1806000,4,c
22,Norte de Santander,253600,25,a
14,Cundinamarca,163800,18,a
21,Narino,55600,4,a
16,Guaviare,367600,21,d
32,Vichada,842600,16,e
5,Bolivar,1664400,8,e
28,Sucre,1622800,8,e
21,Narino,1459200,18,b
12,Choco,1643400,27,c
16,Guaviare,1765800,20,d
9,Casanare,1052000,2,c
13,Cordoba,551600,17,c
13,Cordoba,956600,1,b
26,San Andres y Providencia,861400,19,a
12,Choco,365400,22,a
20,Meta,240200,6,a
26,San Andres y Providencia,563600,0,e
5,Bolivar,618800,20,c
6,Boyaca,1462000,20,d
2,Antioquia,325200,30,e
9,Casanare,1831400,4,e
31,Vaupes,1298600,11,c
6,Boyaca,1022000,30,e
9,Casanare,1130600,13,c
23,Putumayo,547000,30,a
6,Boyaca,1672800,4,d
19,Magdalena,1930400,18,a
31,Vaupes,1416000,6,b
23,Putumayo,1903200,27,e
13,Cordoba,998000,1,d
13,Cordoba,367400,16,d
7,Caldas,946800,11,e
27,Santander,887400,6,d
13,Cordoba,693600,15,b
22,Norte de Santander,1242600,27,a
18,La Guajira,1372400,10,c
14,Cundinamarca,470800,17,a
17,Huila,1292800,13,b
22,Norte de Santander,678800,19,c
1,Amazonas,29200,18,a
2,Antioquia,141200,4,b
6,Boyaca,1013800,24,e
10,Cauca,1949800,12,b
16,Guaviare,745200,23,d
5,Bolivar,242400,26,b
20,Meta,71600,9,d
7,Caldas,521600,28,d
6,Boyaca,1204000,1,b
16,Guaviare,1035600,21,b
23,Putumayo,1904000,25,d
3,Arauca,695400,12,c
6,Boyaca,1375600,20,b
14,Cundinamarca,881000,10,b
4,Atlantico,661200,1,a
2,Antioquia,290600,13,d
7,Caldas,248600,27,e
20,Meta,686400,24,b
27,Santander,235000,21,c
26,San Andres y Providencia,1107200,30,a
10,Cauca,607600,12,c
15,Guainia,484200,27,b
1,Amazonas,634600,29,b
25,Risaralda,1361400,12,c
17,Huila,544000,9,c
4,Atlantico,303200,5,a
11,Cesar,393000,4,e
28,Sucre,1483000,6,a
1,Amazonas,903600,23,c
31,Vaupes,1940400,11,a
29,Tolima,1313000,5,b
29,Tolima,109800,11,d
23,Putumayo,491800,28,b
32,Vichada,151200,4,b
20,Meta,1448600,18,e
5,Bolivar,1288200,7,d
8,Caqueta,433200,9,c
9,Casanare,1215400,24,d
19,Magdalena,1460000,20,e
20,Meta,5400,19,d
28,Sucre,912000,9,b
31,Vaupes,13400,28,e
6,Boyaca,326200,6,e
16,Guaviare,389800,25,d
21,Narino,1000000,16,a
9,Casanare,41800,5,d
5,Bolivar,390400,10,c
2,Antioquia,1841800,30,d
4,Atlantico,828600,4,b
12,Choco,71400,0,d
8,Caqueta,1248000,13,c
30,Valle del Cauca,1632800,11,a
8,Caqueta,821200,2,e
30,Valle del Cauca,1281000,3,e
29,Tolima,232400,24,a
19,Magdalena,704600,30,b
22,Norte de Santander,541800,8,e
15,Guainia,1663600,1,a
21,Narino,863800,24,e
11,Cesar,1027000,11,b
27,Santander,874800,24,e
13,Cordoba,834600,11,b
3,Arauca,391200,18,d
24,Quindio,845800,3,e
1,Amazonas,1187000,13,e
1,Amazonas,1074200,6,a
30,Valle del Cauca,1585200,7,b
30,Valle del Cauca,1857400,20,b
10,Cauca,1233800,20,e
8,Caqueta,1438400,4,e
5,Bolivar,404000,6,d
32,Vichada,577800,22,d
27,Santander,886600,1,e
6,Boyaca,1711800,9,d
9,Casanare,1459600,2,c
26,San Andres y Providencia,972800,2,d
27,Santander,1917200,17,d
26,San Andres y Providencia,519600,9,d
28,Sucre,1247000,20,d
14,Cundinamarca,359000,19,e
24,Quindio,1076600,1,c
20,Meta,1196400,8,e
18,La Guajira,1225000,12,e
31,Vaupes,156000,0,c
12,Choco,1435200,4,d
10,Cauca,934800,5,c
29,Tolima,1506200,0,c
25,Risaralda,234000,17,e
3,Arauca,146400,7,e
22,Norte de Santander,1509600,26,b
11,Cesar,363800,29,d
30,Valle del Cauca,1227000,26,c
16,Guaviare,1493600,17,b
12,Choco,1033200,16,d
29,Tolima,1992400,3,c
15,Guainia,1241400,5,d
3,Arauca,1586600,27,d
14,Cundinamarca,1989800,29,c
11,Cesar,1284000,27,b
15,Guainia,1032000,18,a
24,Quindio,1031800,3,d
12,Choco,1866000,27,c
24,Quindio,1397800,4,d
25,Risaralda,1762200,7,e
16,Guaviare,1687400,11,b
3,Arauca,1227600,9,b
16,Guaviare,1341200,14,d
20,Meta,125800,11,e
2,Antioquia,1899200,0,c
4,Atlantico,1932400,7,c
22,Norte de Santander,860200,1,c
6,Boyaca,1841800,0,e
1,Amazonas,252600,20,b
7,Caldas,715400,11,c
11,Cesar,1109200,20,d
8,Caqueta,241600,16,b
29,Tolima,1587000,26,d
22,Norte de Santander,1859800,11,b
16,Guaviare,1514200,8,d
25,Risaralda,1497200,9,b
13,Cordoba,1808000,11,c
8,Caqueta,788600,28,c
29,Tolima,1278400,16,d
15,Guainia,115200,0,a
1,Amazonas,1392000,10,a
4,Atlantico,1967400,12,b
32,Vichada,627800,6,c
32,Vichada,800,9,e
18,La Guajira,1280800,14,c
10,Cauca,1957000,14,e
28,Sucre,1121800,19,a
23,Putumayo,1893400,7,c
32,Vichada,488400,29,a
18,La Guajira,519000,12,b
18,La Guajira,1541600,6,b
5,Bolivar,1131600,19,c
20,Meta,1440800,10,c
17,Huila,63800,24,e
26,San Andres y Providencia,1836800,18,c
1,Amazonas,1020800,28,b
10,Cauca,1837400,17,c
24,Quindio,364200,23,e
11,Cesar,612800,28,d
16,Guaviare,882800,9,c
24,Quindio,851600,14,c
28,Sucre,228600,27,b
15,Guainia,830600,14,b
30,Valle del Cauca,161800,22,b
26,San Andres y Providencia,1071800,15,d
15,Guainia,1086200,26,a
32,Vichada,38000,25,e
4,Atlantico,137600,7,b
28,Sucre,419800,13,d
17,Huila,310400,12,d
30,Valle del Cauca,643000,4,e
7,Caldas,71200,26,b
10,Cauca,1850600,6,c
25,Risaralda,2800,20,e
16,Guaviare,166600,1,e
17,Huila,1675800,18,b
22,Norte de Santander,1606000,6,e
6,Boyaca,40400,18,e
28,Sucre,1492000,7,e
26,San Andres y Providencia,1599200,22,c
20,Meta,2200,26,a
29,Tolima,794600,1,b
2,Antioquia,695600,24,e
6,Boyaca,1691800,2,d
9,Casanare,275200,14,b
11,Cesar,1931200,19,d
12,Choco,1117200,6,a
17,Huila,399400,10,a
5,Bolivar,1306800,7,c
9,Casanare,1769400,27,a
24,Quindio,1068400,30,c
1,Amazonas,881200,12,c
25,Risaralda,34800,10,b
29,Tolima,82200,13,d
23,Putumayo,1837200,16,e
20,Meta,1736000,26,a
15,Guainia,1501600,9,a
28,Sucre,478000,27,b
32,Vichada,1438200,30,e
8,Caqueta,51200,16,d
19,Magdalena,1089200,3,c
14,Cundinamarca,576800,11,e
27,Santander,889200,23,b
7,Caldas,1474200,12,a
14,Cundinamarca,94200,28,b
28,Sucre,501000,28,b
5,Bolivar,348200,7,a
2,Antioquia,1517400,8,a
8,Caqueta,1122600,11,a
4,Atlantico,1224200,21,d
5,Bolivar,136400,20,d
30,Valle del Cauca,1983200,22,c
5,Bolivar,1781600,5,e
26,San Andres y Providencia,1681600,14,d
13,Cordoba,1910200,28,c
1,Amazonas,704400,4,d
8,Caqueta,1332600,1,d
4,Atlantico,1914600,6,b
28,Sucre,1283200,6,a
21,Narino,1734000,0,c
5,Bolivar,1473400,10,a
2,Antioquia,803600,27,d
9,Casanare,1606400,8,d
21,Narino,701000,23,e
16,Guaviare,714200,26,d
11,Cesar,1049800,20,e
28,Sucre,1723800,24,d
4,Atlantico,1302400,19,a
17,Huila,1177800,25,d
15,Guainia,414200,22,a
18,La Guajira,1483200,11,a
7,Caldas,602400,5,b
28,Sucre,1218000,8,a
4,Atlantico,1097600,30,d
6,Boyaca,1670200,26,a
16,Guaviare,356000,26,b
10,Cauca,562000,2,a
10,Cauca,959800,3,b
24,Quindio,1782200,30,c
28,Sucre,262000,13,c
18,La Guajira,204400,2,d
23,Putumayo,933200,14,e
14,Cundinamarca,1415200,29,a
16,Guaviare,1221400,3,e
17,Huila,1116600,27,b
13,Cordoba,1126000,24,c
3,Arauca,1133000,2,e
29,Tolima,1899800,4,c
17,Huila,1531000,14,d
12,Choco,1129800,14,c
3,Arauca,556400,7,b
17,Huila,911800,15,b
6,Boyaca,1844400,17,e
18,La Guajira,890200,18,c
17,Huila,926200,20,c
5,Bolivar,1838800,29,a
24,Quindio,802200,10,c
21,Narino,898400,12,d
13,Cordoba,14400,5,a
10,Cauca,1650000,4,b
12,Choco,504800,20,a
12,Choco,545800,6,e
29,Tolima,382400,16,a
16,Guaviare,221800,3,b
5,Bolivar,589400,7,d
9,Casanare,728800,9,e
1,Amazonas,1936200,25,d
1,Amazonas,572200,5,c
17,Huila,874000,22,b
11,Cesar,1491400,23,c
17,Huila,1231400,28,e
23,Putumayo,825800,4,d
7,Caldas,1898800,17,e
19,Magdalena,1187800,15,d
24,Quindio,1786000,23,c
31,Vaupes,412600,19,d
17,Huila,1046000,29,b
3,Arauca,1333400,25,a
15,Guainia,148000,26,b
5,Bolivar,1716200,17,b
24,Quindio,1699000,3,b
13,Cordoba,448800,23,c
12,Choco,853000,30,c
6,Boyaca,713800,22,b
13,Cordoba,1786000,19,b
2,Antioquia,606600,25,d
12,Choco,401400,28,b
8,Caqueta,1904000,26,b
3,Arauca,1755800,4,d
7,Caldas,1927400,1,a
18,La Guajira,1378400,2,b
25,Risaralda,1244000,23,b
13,Cordoba,1722400,22,b
23,Putumayo,1060800,4,c
30,Valle del Cauca,1979200,10,b
13,Cordoba,424600,22,a
14,Cundinamarca,918600,20,e
25,Risaralda,1861600,14,c
32,Vichada,993200,18,e
25,Risaralda,1239200,28,a
15,Guainia,969200,18,e
16,Guaviare,1515000,10,a
30,Valle del Cauca,550800,0,e
9,Casanare,692000,13,b
9,Casanare,787600,5,a
19,Magdalena,223200,27,c
19,Magdalena,553000,12,d
12,Choco,667400,9,c
20,Meta,1753000,6,b
24,Quindio,1269400,20,c
23,Putumayo,1038200,10,c
8,Caqueta,1684000,16,b
14,Cundinamarca,204000,27,b
13,Cordoba,193600,6,e
18,La Guajira,1894600,21,c
5,Bolivar,146200,21,c
13,Cordoba,1610200,0,c
8,Caqueta,396600,17,e
20,Meta,1934600,8,a
3,Arauca,970000,29,a
16,Guaviare,1060800,10,b
16,Guaviare,1203000,0,c
2,Antioquia,32800,15,a
28,Sucre,887800,22,d
24,Quindio,1803200,26,a
26,San Andres y Providencia,1531800,13,a
19,Magdalena,751800,23,b
10,Cauca,613200,19,a
4,Atlantico,5600,21,b
26,San Andres y Providencia,91000,7,b
6,Boyaca,90000,8,b
22,Norte de Santander,485200,24,b
8,Caqueta,968000,21,d
24,Quindio,1445000,3,c
32,Vichada,229800,0,d
13,Cordoba,692400,23,e
25,Risaralda,601000,8,e
7,Caldas,214000,28,b
31,Vaupes,855400,27,e
4,Atlantico,908400,29,c
1,Amazonas,385200,1,e
22,Norte de Santander,1088400,18,b
3,Arauca,243000,3,b
9,Casanare,346400,27,d
23,Putumayo,85200,23,c
11,Cesar,901600,5,a
26,San Andres y Providencia,1882000,18,a
29,Tolima,763000,20,c
4,Atlantico,877600,12,c
21,Narino,1712400,1,e
20,Meta,1986600,9,b
23,Putumayo,1000800,16,a
20,Meta,815600,7,b
15,Guainia,109000,28,a
6,Boyaca,920200,9,d
2,Antioquia,1279400,10,c
14,Cundinamarca,1180400,19,a
3,Arauca,1846600,13,b
15,Guainia,1355800,8,e
8,Caqueta,1482600,2,a
30,Valle del Cauca,16800,16,e
14,Cundinamarca,379200,21,b
10,Cauca,1799600,20,c
6,Boyaca,853800,2,c
9,Casanare,65400,15,e
8,Caqueta,1567800,21,d
31,Vaupes,1665800,8,c
18,La Guajira,149600,7,b
11,Cesar,1878400,12,c
18,La Guajira,673600,5,a
32,Vichada,427600,2,d
26,San Andres y Providencia,1102000,17,e
1,Amazonas,823200,2,c
6,Boyaca,766600,10,e
11,Cesar,1569400,21,b
11,Cesar,864800,13,c
32,Vichada,1874400,26,a
30,Valle del Cauca,1117400,21,b
4,Atlantico,1731800,3,c
26,San Andres y Providencia,1938400,11,e
9,Casanare,1939600,17,b
27,Santander,411400,1,c
9,Casanare,790200,23,e
5,Bolivar,1021200,15,a
17,Huila,919400,14,b
15,Guainia,893600,11,b
12,Choco,1650200,30,a
26,San Andres y Providencia,1104600,4,d
20,Meta,1057600,19,e
30,Valle del Cauca,15800,0,b
32,Vichada,1846200,24,e
25,Risaralda,1678600,21,b
13,Cordoba,1462000,12,d
7,Caldas,1872000,3,c
13,Cordoba,1043000,15,d
24,Quindio,934200,16,d
18,La Guajira,1770000,12,d
32,Vichada,349800,10,d
29,Tolima,1675400,5,d
22,Norte de Santander,755600,19,c
10,Cauca,711600,18,a
30,Valle del Cauca,232000,22,b
21,Narino,802400,3,d
24,Quindio,1556800,11,a
8,Caqueta,672000,27,b
5,Bolivar,1637000,26,e
24,Quindio,1312600,14,d
25,Risaralda,564400,9,c
24,Quindio,1904400,18,a
22,Norte de Santander,1351800,1,c
11,Cesar,1701400,5,a
11,Cesar,1667800,10,b
12,Choco,1856800,8,d
24,Quindio,1346000,17,e
7,Caldas,887800,11,b
12,Choco,595400,17,a
11,Cesar,38400,23,a
25,Risaralda,1139200,1,a
23,Putumayo,1949400,23,c
21,Narino,1669000,22,e
16,Guaviare,565400,23,c
1,Amazonas,1201200,8,d
28,Sucre,149600,14,a
17,Huila,1204000,10,d
14,Cundinamarca,1957400,16,a
15,Guainia,1885800,0,b
22,Norte de Santander,112200,19,b
19,Magdalena,1752000,25,b
3,Arauca,1206800,10,c
27,Santander,485800,8,b
19,Magdalena,723200,23,c
17,Huila,726600,25,e
4,Atlantico,756400,22,c
11,Cesar,1926000,1,c
18,La Guajira,491800,17,e
18,La Guajira,1049000,11,d
7,Caldas,1311000,29,d
32,Vichada,721000,29,c
31,Vaupes,1408200,12,b
30,Valle del Cauca,1867200,16,c
16,Guaviare,1332800,25,e
23,Putumayo,1091400,30,d
26,San Andres y Providencia,1169400,15,b
30,Valle del Cauca,1888200,20,d
23,Putumayo,1409000,29,a
8,Caqueta,1373600,22,e
29,Tolima,638400,14,e
8,Caqueta,1388600,17,a
10,Cauca,1595000,24,a
27,Santander,1441800,19,b
12,Choco,1859200,18,b
23,Putumayo,549800,7,b
1,Amazonas,120600,14,e
2,Antioquia,241000,9,d
20,Meta,1168400,10,e
3,Arauca,218800,24,e
29,Tolima,1849400,18,d
13,Cordoba,746400,17,b
22,Norte de Santander,826200,14,c
25,Risaralda,1768800,23,e
19,Magdalena,408400,6,c
24,Quindio,494800,5,e
27,Santander,1856400,19,d
4,Atlantico,648800,3,d
13,Cordoba,1693600,24,e
17,Huila,263200,27,e
27,Santander,874800,3,a
9,Casanare,1172600,28,b
24,Quindio,1076000,11,a
2,Antioquia,551600,15,c
23,Putumayo,1771600,18,d
7,Caldas,276600,26,b
25,Risaralda,596800,20,c
18,La Guajira,1312600,4,a
13,Cordoba,135400,21,d
28,Sucre,1182400,29,c
27,Santander,107800,26,e
7,Caldas,402200,5,b
20,Meta,448000,17,a
21,Narino,1807800,22,e
27,Santander,665200,18,d
15,Guainia,891000,2,e
24,Quindio,688000,7,a
13,Cordoba,1240800,21,d
9,Casanare,915800,13,a
1,Amazonas,1656000,25,e
5,Bolivar,176800,16,b
8,Caqueta,1439600,17,e
16,Guaviare,915800,19,d
14,Cundinamarca,500000,3,c
26,San Andres y Providencia,1470200,25,c
28,Sucre,748600,9,e
5,Bolivar,1679000,17,c
1,Amazonas,19000,20,e
20,Meta,401800,10,e
19,Magdalena,69200,5,e
15,Guainia,295200,22,a
32,Vichada,443000,7,e
27,Santander,1718600,24,b
7,Caldas,691400,10,c
13,Cordoba,662200,25,c
19,Magdalena,1666800,14,c
18,La Guajira,1120800,1,e
18,La Guajira,702000,12,c
9,Casanare,298400,0,b
14,Cundinamarca,126800,30,a
5,Bolivar,618800,4,e
29,Tolima,1866600,30,d
31,Vaupes,1438200,13,d
10,Cauca,1827400,29,d
5,Bolivar,794000,17,e
11,Cesar,106600,0,d
2,Antioquia,1470000,2,a
13,Cordoba,1265600,14,b
6,Boyaca,809800,22,c
7,Caldas,503200,10,c
17,Huila,954200,13,d
17,Huila,1696000,0,a
16,Guaviare,1993600,24,e
3,Arauca,838800,25,b
4,Atlantico,1071400,14,a
9,Casanare,1461200,14,a
26,San Andres y Providencia,1915000,14,e
20,Meta,949800,13,a
27,Santander,1226600,15,d
20,Meta,1075000,15,e
12,Choco,1804000,1,d
26,San Andres y Providencia,1836200,6,c
31,Vaupes,1884800,15,d
17,Huila,1316400,9,d
14,Cundinamarca,962200,9,e
27,Santander,1468600,26,d
2,Antioquia,509600,14,c
16,Guaviare,997200,17,a
6,Boyaca,1272600,3,d
8,Caqueta,837600,17,b
29,Tolima,695600,22,a
30,Valle del Cauca,456400,2,e
25,Risaralda,1912800,10,d
10,Cauca,1822800,25,d
21,Narino,1832600,6,b
23,Putumayo,315200,11,b
23,Putumayo,1928200,10,d
9,Casanare,56800,15,d
16,Guaviare,448200,21,a
23,Putumayo,341600,4,a
20,Meta,1265800,4,c
14,Cundinamarca,1903200,6,a
5,Bolivar,806000,3,c
2,Antioquia,11200,11,a
30,Valle del Cauca,298800,29,a
3,Arauca,1553000,8,b
6,Boyaca,1264000,12,d
10,Cauca,487400,17,b
12,Choco,971800,20,c
19,Magdalena,356400,0,a
26,San Andres y Providencia,1216000,5,c
10,Cauca,1588800,2,c
6,Boyaca,1776000,25,b
2,Antioquia,1612000,12,a
22,Norte de Santander,1112600,19,b
1,Amazonas,1475000,5,d
9,Casanare,246400,23,b
18,La Guajira,454400,29,d
7,Caldas,595600,23,c
32,Vichada,506600,1,e
16,Guaviare,924200,7,e
6,Boyaca,290200,10,b
23,Putumayo,1242000,14,a
14,Cundinamarca,1306600,4,c
1,Amazonas,774400,14,c
30,Valle del Cauca,222600,23,d
30,Valle del Cauca,18600,19,a
3,Arauca,174400,21,a
19,Magdalena,1184400,4,d
9,Casanare,1210400,30,c
10,Cauca,503400,24,a
1,Amazonas,1508800,16,c
15,Guainia,1384200,6,a
24,Quindio,797200,17,a
26,San Andres y Providencia,1300400,9,a
30,Valle del Cauca,1151800,25,a
12,Choco,1743800,5,a
19,Magdalena,994400,7,a
11,Cesar,1741000,21,e
24,Quindio,1119600,28,c
7,Caldas,1499600,15,c
21,Narino,1055400,20,a
3,Arauca,1361600,16,b
24,Quindio,28200,27,b
18,La Guajira,1667800,2,a
4,Atlantico,48600,6,b
4,Atlantico,551000,18,e
25,Risaralda,367400,17,c
13,Cordoba,301600,22,b
32,Vichada,1431000,13,e
23,Putumayo,108400,29,a
22,Norte de Santander,1428600,7,b
21,Narino,1013800,27,e
16,Guaviare,1801600,9,a
1,Amazonas,769000,28,d
7,Caldas,1588200,18,c
18,La Guajira,934400,15,b
12,Choco,548200,2,d
8,Caqueta,401000,4,e
24,Quindio,539400,9,a
30,Valle del Cauca,998600,10,d
30,Valle del Cauca,988000,24,b
23,Putumayo,1558800,7,c
1,Amazonas,1564400,30,b
3,Arauca,1412200,16,c
19,Magdalena,1889000,0,b
31,Vaupes,17400,22,e
30,Valle del Cauca,1644400,24,b
1,Amazonas,439200,15,c
25,Risaralda,1106800,25,b
31,Vaupes,1254400,23,e
23,Putumayo,1341200,10,b
14,Cundinamarca,1656000,29,c
26,San Andres y Providencia,108200,22,a
10,Cauca,192000,29,c
1,Amazonas,1860000,4,b
19,Magdalena,426800,24,c
8,Caqueta,1297000,14,d
31,Vaupes,1041800,15,a
14,Cundinamarca,555400,8,b
10,Cauca,1710000,19,a
14,Cundinamarca,1344200,17,e
23,Putumayo,1551400,22,e
19,Magdalena,1886400,22,a
27,Santander,1630600,0,d
2,Antioquia,406000,13,a
19,Magdalena,1541200,0,d
3,Arauca,851000,21,e
32,Vichada,1952600,23,b
19,Magdalena,912200,8,c
5,Bolivar,1724800,17,a
23,Putumayo,589600,27,d
8,Caqueta,1038000,15,c
26,San Andres y Providencia,1142200,16,d
9,Casanare,1967000,28,c
12,Choco,19800,2,e
21,Narino,1294400,30,b
19,Magdalena,885000,16,e
28,Sucre,1592600,13,a
26,San Andres y Providencia,1914600,6,d
10,Cauca,1797600,23,b
27,Santander,44200,26,d
15,Guainia,1384400,1,d
32,Vichada,754400,20,e
19,Magdalena,764400,1,b
27,Santander,206800,16,a
32,Vichada,1641000,27,d
16,Guaviare,60200,12,d
21,Narino,91000,18,d
31,Vaupes,1473200,26,b
18,La Guajira,983600,19,c
29,Tolima,1231800,25,d
25,Risaralda,996000,29,d
24,Quindio,1649800,29,d
2,Antioquia,1646800,13,c
5,Bolivar,1727600,23,c
25,Risaralda,685400,29,c
27,Santander,1854000,24,a
12,Choco,163600,20,e
11,Cesar,1552000,15,d
25,Risaralda,660200,6,b
4,Atlantico,1264600,1,c
10,Cauca,439000,29,d
3,Arauca,985400,24,a
26,San Andres y Providencia,706600,17,d
8,Caqueta,1272000,1,d
